"","inf_vals"
"1",0.01
"2",0.0174358974358974
"3",0.0248717948717949
"4",0.0323076923076923
"5",0.0397435897435897
"6",0.0471794871794872
"7",0.0546153846153846
"8",0.0620512820512821
"9",0.0694871794871795
"10",0.0769230769230769
"11",0.0843589743589744
"12",0.0917948717948718
"13",0.0992307692307692
"14",0.106666666666667
"15",0.114102564102564
"16",0.121538461538462
"17",0.128974358974359
"18",0.136410256410256
"19",0.143846153846154
"20",0.151282051282051
"21",0.158717948717949
"22",0.166153846153846
"23",0.173589743589744
"24",0.181025641025641
"25",0.188461538461538
"26",0.195897435897436
"27",0.203333333333333
"28",0.210769230769231
"29",0.218205128205128
"30",0.225641025641026
"31",0.233076923076923
"32",0.240512820512821
"33",0.247948717948718
"34",0.255384615384615
"35",0.262820512820513
"36",0.27025641025641
"37",0.277692307692308
"38",0.285128205128205
"39",0.292564102564103
"40",0.3
